"headword","pos","dialect_id","jsonb_data"
"Rami'n mugunta a ginnashi gajere","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""Ɗio-  the  hole  of  evil  shallow."", ""note"": ""'&"", ""proverb_number"": 29, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Kango'n Allah maiwuya'n tuk-yewa","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""The  place  which  Allah  has  made  a  hango  is  hard to  fill."", ""note"": ""Kango,    any   place   which  has  at  one  time  been  in- habited, but  is  now  deserted. An  unlucky  man  will  always  be  unlucky."", ""proverb_number"": 30, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Ganni'n ido ba shi hanna chi'n kai","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""Seeing  the  eye  does  not  prevent  one  from  eating the  head."", ""note"": ""If  a  chief's  follower  was  brought  before  a  judge  and his  master  came  to  ask  that  he  might  be  let  off, this  might  be  said  to  him,  meaning,  ''  Though  I see  you  I  shall  still  do  justice,  I  shall  not  let  him off.\"""", ""proverb_number"": 31, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Zakarra a-rataye ya yi koatuh ?","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""Can  a  cock  slung  by  both  legs  peck  at  corn  ?"", ""note"": ""Kotu  or  koatuh,  the  pecking  action  of  hens  eating grain. Can  I  do  it  in  my  present  position  ?"", ""proverb_number"": 32, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"lya rua fidda kai","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""He,  who  can  swim,  can  save  himself. Fidda,  a  contraction  of  \""  fita  da.\"""", ""note"": """", ""proverb_number"": 33, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Da kura tana da magani'ii zawo, da ta yi","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""ma  kanta."", ""note"": ""Had  the  kura  the  means  of  curing  itself  of  zav:o it  would  have  done  so. Physician  heal  thyself."", ""proverb_number"": 34, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Daki ya tasshi, ragaya ya zona ?","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""Will  the  ragaya  remain  when  the  hut  has  started on  a  journey  ?"", ""note"": ""Will  the  child  remain  when  his  father  goes  away. Is  it  likely  that  I  shall  remain  here  when  you,  my master,  are  going  ? Ragaya,  the  net  or  basket  of  string  which  will  be found  hanging  from  the  roof  of  any  hut ;  all  kinds of  odds  and  ends  are  put  into  it.      Vide  188."", ""proverb_number"": 35, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Asa zuchia ta chi, shi ya kawo ji'n yungwa","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""To  make  the  heart  eat  is  to  bring  a  feeling  of hunger. Wishing  for  a  thing  makes  one  feel  the  want  of  it."", ""note"": ""1 6  Hates  a  Proverbs"", ""proverb_number"": 36, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Enna darra'n gammi","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""Might  be  said  to  a  man  who  claims  to  have  met you  before  and  you  deny  it ;  it  is  as  if  one said,  \""  How  can  I  have  met  you,  it  would be  as  easy  for  the  pebbles  of  the  darra board  to  meet.\"""", ""note"": ""The  idea  is,  I  think,  that  as  the  pebbles  in  the  game of  darra  are  separated  by  the  partitions  of  the board,  so  have  you  been  from  the  man  you  are speaking  to. Darra  is  universal  throughout  the  Central  Sudan. The  board  is  made  either  of  wood  or  is  merely  a double  row  of  holes  in  the  ground.  Small  brass models  of  darra  boards  are  among  the  many Ashanti  \""  weights.\"""", ""proverb_number"": 37, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
"Zua da kai wonda ya fi sako","proverb","8","{""source"": ""Hausa Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""Going  oneself  is  what  is  better  than  a  substitute. The  master's  eye.     Personal  supervision."", ""note"": """", ""proverb_number"": 38, ""origin"": ""Merrick, G. (1905). Hausa Proverbs. Public domain (archive.org/details/hausaproverbs00merrrich)."", ""license"": ""Public Domain"", ""dialect_assigned_default"": true}"
