"headword","pos","dialect_id","jsonb_data"
"-gba ụgbọ","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""go in a vehicle"", ""move (as liquid) (1) flow, run (liquid as subject)""], ""examples"": [], ""dialect_variants"": []}"
"-gba n’ugbō","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""cultivate adjoining farms; be farm neighbours""], ""examples"": [], ""dialect_variants"": []}"
"ọtụlụ","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""used in""], ""examples"": [], ""dialect_variants"": []}"
"di ānyị","PRN","5","{""source"": ""IgboAPI"", ""definitions"": [""such a one, so and so (e.g. where a name is unknown); friend"", ""such a one; so and so!; (used to address a man, or less often to refer to him, either where name is unknown or by wives referring to husband)""], ""examples"": [], ""dialect_variants"": []}"
"ònwùnwò","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""change""], ""examples"": [], ""dialect_variants"": []}"
"Òlìsà","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""The Great God""], ""examples"": [{""igbo"": ""Òlìsà ebùlu ùwà"", ""english"": ""God who supports the world""}, {""igbo"": ""Òlìsà elòka"", ""english"": ""God thought deeply (male name)""}, {""igbo"": ""Òlìsà èmeka"", ""english"": ""God has done a lot (male name)""}, {""igbo"": ""Nwolìsà"", ""english"": ""the son of God (male name)""}], ""dialect_variants"": []}"
"ugbokō","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""forest; thicket; jungle; farm""], ""examples"": [], ""dialect_variants"": []}"
"nsikpù","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""obscuring (e.g. of sun)""], ""examples"": [], ""dialect_variants"": []}"
"-fụ afụfụ","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""suffer"", ""suffer (compare -ta afụfụ)""], ""examples"": [], ""dialect_variants"": []}"
"ebe a nà-enì ozū","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""burial ground""], ""examples"": [], ""dialect_variants"": []}"
"-kwụlụ ọtọ","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""(= -kwụ ọtọ)""], ""examples"": [], ""dialect_variants"": []}"
"nsam","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""small shellfish found in salt water; periwinkle (compare ejùnà, kòso)""], ""examples"": [], ""dialect_variants"": []}"
"dòtị","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""catapult"", ""dirt; filth (colloquial, English dirty)""], ""examples"": [], ""dialect_variants"": []}"
"-mìlị","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""suck""], ""examples"": [], ""dialect_variants"": []}"
"-rughalị","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""turn, bend round; change""], ""examples"": [], ""dialect_variants"": []}"
"-gbamì mkpòlògwù(gwù)","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""send roots deep""], ""examples"": [], ""dialect_variants"": []}"
"-ti mmanwụ","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""bring out spirits in the form of masquerades""], ""examples"": [], ""dialect_variants"": []}"
"abụbọ","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""vegetables""], ""examples"": [], ""dialect_variants"": []}"
"nkwupùta","ESUF","5","{""source"": ""IgboAPI"", ""definitions"": [""confession; profession (of faith, etc.)""], ""examples"": [], ""dialect_variants"": []}"
"-zùnita","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""rear; bring up; educate; train up""], ""examples"": [{""igbo"": ""Ndù azùnitago Ùgònnwā"", ""english"": ""Ndụ has trained Ugonnwa up""}], ""dialect_variants"": []}"
"-gwakwụlụ","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""reply""], ""examples"": [], ""dialect_variants"": []}"
"àrụ ikē nà òdìmmā","PV","5","{""source"": ""IgboAPI"", ""definitions"": [""(good and) well-being"", ""good health and well-being; well-being""], ""examples"": [{""igbo"": ""Obì ọma nà-ewèta òdìmmā"", ""english"": ""Kindness promotes good relations""}], ""dialect_variants"": []}"
"mkpụlù","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""something roundish and smooth, e.g. shot-putt""], ""examples"": [], ""dialect_variants"": []}"
"-lapùta ile","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""put out the tongue""], ""examples"": [], ""dialect_variants"": []}"
"òkelekwū","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""rat, or any small animal""], ""examples"": [], ""dialect_variants"": []}"
"-gbàkwụnye ụnò","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""enlarge, extend house (by adding more rooms at either or both ends or sides);"", ""enlarge, extend house (by adding more rooms)""], ""examples"": [{""ibgo"": ""Anà m agbàkwụnye ụnò m ụnō ūla naàbò"", ""english"": ""I am enlarging my house by two more bedrooms""}], ""dialect_variants"": []}"
"à","DEM","5","{""source"": ""IgboAPI"", ""definitions"": [""this""], ""examples"": [], ""dialect_variants"": []}"
"ǹju īko","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""cupful""], ""examples"": [{""igbo"": ""Bikō mànyelụ m#ǹju īko gàrị naàbò"", ""english"": ""Please measure out two cupfuls of garri for me""}], ""dialect_variants"": []}"
"mwopū àfè","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""taking off of clothes""], ""examples"": [], ""dialect_variants"": []}"
"-te ajā","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""rub, smoothe, wet wall; paint wall""], ""examples"": [], ""dialect_variants"": []}"
"-duga","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""accompany""], ""examples"": [], ""dialect_variants"": []}"
"òbùbò ọkū","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""heap of glowing coals""], ""examples"": [], ""dialect_variants"": []}" 
"-mụ-mù","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""hum; murmur""], ""examples"": [{""igbo"": ""Amārọ m ịfe nā-amụmù n’ime ụnò"", ""english"": ""I don’t know what is humming in the room""}], ""dialect_variants"": []}"
"-kpakọ","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""walk together (of friends)""], ""examples"": [], ""dialect_variants"": []}"
"anya ọkū","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""disease of the eye"", ""fierceness of aspect"", ""jealousy; envy (literally fiery eyes)""], ""examples"": [], ""dialect_variants"": []}"
"mkpà","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""need; difficulty; necessity (from -kpà 2. be needful)"", ""used in"", ""forceps; tongs"", ""holding; captivity; restriction; imprisonment (from -kpà 1. grip)"", ""one stake full of yams tied in a barn""], ""examples"": [], ""dialect_variants"": []}"
"-bù osisi","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""uproot tree""], ""examples"": [], ""dialect_variants"": []}"
"-nchèkasị","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""worry greatly; wear out oneself with thinking""], ""examples"": [], ""dialect_variants"": []}"
"-wa","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""cut; split; divide; space"", ""come out; break through; burst out (on); force one's way in"", ""wander; explore (e.g. forest)"", ""break; shatter"", ""continuing; becoming more and more""], ""examples"": [{""igbo"": ""Ụmù ọlū ya nà-àbawanye ūba"", ""english"": ""His apprentices are increasing more and more""}], ""dialect_variants"": []}"
"-bèka","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""cut out; cut into"", ""cut asunder""], ""examples"": [], ""dialect_variants"": []}"
"-ke ekike","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""dress; adorn""], ""examples"": [{""igbo"": ""O kèlù ekike ndi aghā"", ""english"": ""He is dressed as a soldier""}], ""dialect_variants"": []}"
"ekwum","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""lungfish; mudfish (Protopterus annectens) (= ebī)""], ""examples"": [], ""dialect_variants"": []}"
"àrụ ūfụ","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""urgency; state of disquiet"", ""sickness; pain""], ""examples"": [], ""dialect_variants"": []}"
"ndi gboo","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""the ancients""], ""examples"": [], ""dialect_variants"": []}"
"-kwu","ESUF","5","{""source"": ""IgboAPI"", ""definitions"": [""speak"", ""cork; stopper"", ""trust in"", ""eat more""], ""examples"": [], ""dialect_variants"": []}"
"òyì","NNC","5","{""source"": ""IgboAPI"", ""definitions"": [""friend; lover; mistress; adultery (more common than enyì and òwì)""], ""examples"": [], ""dialect_variants"": []}"
"ìzù","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""meeting; council; consultation; plot"", ""meeting, council"", ""whisper""], ""examples"": [], ""dialect_variants"": []}"
"-mapù imi","AV","5","{""source"": ""IgboAPI"", ""definitions"": [""blow the nose""], ""examples"": [], ""dialect_variants"": []}"
